MovieID,MovieName,Price,DirectorID,CountryID,ProductionCompanyID,Language,ReleaseYear,Duration,Rating,MovieDescription,OrderTimes
1,Bulletproof 2,15.99,1,1,1,English,2020,97,TV-MA,"A special agent abruptly reunites with a criminal "" once a former friend "" when he attempts to use his identity to infiltrate and take down a cartel.",3
2,Ghost Stories,15.99,2,2,2,Hindi,2020,145,TV-MA,"The directors of Emmy-nominated ""Lust Stories"" (Zoya Akhtar, Anurag Kashyap, Dibakar Banerjee and Karan Johar) reunite for this quartet of thrillers.",2
3,All the Freckles in the World,15.99,3,3,3,Spanish,2020,90,TV-14,Thirteen-year-old Jos¨¦ Miguel is immune to 1994 World Cup fever until he realizes soccer is the only way to win the heart of his crush.,4
4,Shanghai Fortress,14.89,4,4,4,Chinese,2019,107,TV-14,A young man falls for a heroic general and soon follows her footsteps as humans defend Earth against extraterrestrials seeking a precious energy source.,2
5,Revenge of the Pontianak,14.89,5,5,5,Malay,2019,92,TV-14,A wedding in a Malaysian village leaves out one guest: a scorned vampire ghost bent on settling a secret score with the groom and anyone in her way.,2
6,Delirium,13.99,6,1,6,English,2018,96,R,A man with a history of mental issues moves into his late parents' mansion and comes to suspect his new home may be haunted.,3
7,Once Again,13.99,7,2,7,Hindi,2018,101,TV-PG,"After a chance phone call leads to daily conversations, a widowed restaurant owner and a lonely film actor plan to finally meet in person.",1
8,Hamza's Suitcase,12.99,8,9,24,Arabic,2017,79,TV-14,"When a con man tries to retrieve a bag of money, he swoons for a woman with ties to a notorious crew of criminals.",1
9,In This Corner of the World,12.99,9,10,8,Japanese,2016,129,PG-13,"Suzu marries into a family living outside of Hiroshima and quickly settles into her new life, until World War II challenges her ability to survive.",4
10,Back and Forth,12.99,10,11,9,Portuguese,2016,95,NR,"When their car breaks down en route to  Paulo, a father and son accept a ride from four beautiful telemarketers who are headed there on holiday.",2
11,Look Who's Back,12.39,11,7,10,German,2015,116,NR,"When Adolf Hitler reawakens at the site of his former bunker 70 years later, he's mistaken for a brilliant comedian and becomes a media phenomenon.",3
12,Seoul Searching,12.39,12,12,11,"English, Korean ",2015,109,TV-MA,Teens of Korean descent who were born and raised in other countries travel to Seoul to learn about their cultural heritage at a summer camp in 1986.,4
13,Olmo & the Seagull,12.39,13,20,12,"French, Spanish ",2014,82,TV-MA,A pregnancy forces an actress out of her latest play and into a difficult confrontation with her own rapidly transforming reflection.,2
14,The Gospel of John,12.39,14,13,13,"English, Spanish",2014,161,TV-14,"In the first of four word-for-word film adaptations, Aramaic-speaking actors re-create the stories of Jesus' life from the fourth gospel.",2
15,Beak & Brain: Genius Birds From Down Under,11.99,15,7,14,German,2013,52,TV-G,"Whoever came up with the term ""bird brain"" never met these feathered thinkers, who use their claws and beaks to solve puzzles, make tools and more.",2
16,Man of Tai Chi,11.99,16,1,15,"Chinese, English",2013,105,R,"In this kung fu tale set in Beijing, a young man armed with incomparable martial arts skills gets embroiled in the world of underground fight clubs.",3
17,John Carter,11.99,17,1,16,English,2012,133,PG-13,"One minute, Civil War veteran John Carter is evading Apaches; the next, he's waking up on Mars, a once-fruitful planet that's devolved into chaos.",3
18,Berserk: The Golden Age Arc - The Egg of the King,11.99,18,10,17,Japanese,2012,77,TV-MA,"Loner Guts is recruited by Griffith and his band of mercenaries, but their ensuing success as a full-fledged army could lead to a horrible fate.",5
19,Suckseed,10.99,19,15,18,Thai,2011,130,TV-MA,"When his boyhood crush Ern returns, Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group.",1
